"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
17429.7395105736,-10.1170326453066,0.673781111860826,-15.0153105618614,5.82882317783861e-51,1.15830374190009e-46,"ANKRD30BL"
10154.8306682,-11.423273037433,0.810342140803876,-14.0968517644915,3.97093315287867e-45,3.94551918070025e-41,"MT-ND6"
984.004181746051,-6.07743225776728,0.435986380973746,-13.9395002297864,3.64483474025319e-44,2.41433853194372e-40,"RAB3IL1"
484.192080344314,-5.6163787849647,0.42349387288689,-13.2620071848472,3.84465821013868e-40,1.9100261987969e-36,"SLC9A3R2"
302.502895994609,-4.43642198736115,0.358830640665257,-12.3635539571989,4.11550842711226e-35,1.6356676692715e-31,"ZNF598"
2014.26506835285,3.26251950195881,0.292549581292054,11.1520224624824,6.99970397258676e-29,2.31830195572073e-25,"SRGN"
1872.34919081454,-5.01284334059879,0.45705316592264,-10.9677466744586,5.461654598445e-28,1.55048571686141e-24,"ZNF316"
1001.68042648993,-4.74610398462461,0.445296647138451,-10.6582971489317,1.59490835438521e-26,3.96175235229287e-23,"FAM156A"
185.809426767764,-5.03924128734241,0.479190102374883,-10.5161631310158,7.27771946394096e-26,1.60692045763816e-22,"DVL2"
4008.22789039512,-2.83884819452355,0.273875919107859,-10.3654538294969,3.56064189219322e-25,7.07570756816638e-22,"EHBP1L1"
2764.6803428054,-4.45743377578215,0.434132141462129,-10.267458568651,9.87723871551363e-25,1.78436807049715e-21,"CROCC"
502.121473732117,-4.1485398409691,0.407260035022037,-10.1864643820124,2.27902418460021e-24,3.77406404969794e-21,"MCRIP1"
741.584682512847,-4.36270205825975,0.435910144864228,-10.0082599812367,1.40196569076355e-23,2.1430663236041e-20,"PARP10"
1219.63585335032,3.59143755968447,0.363155297072614,9.88953648379898,4.62162785140139e-23,6.55723694580319e-20,"PTGFR"
2099.39733074679,-4.70283526766005,0.475866858456122,-9.88267029756535,4.94960518252052e-23,6.55723694580319e-20,"SPEG"
665.128819398902,-3.23197212098164,0.328250471794681,-9.84605476211842,7.12875059891567e-23,8.85390824385326e-20,"NRBP2"
302.886782639612,-4.916760245588,0.505705896990237,-9.7225685420135,2.41608552228048e-22,2.8242618528681e-19,"JUP"
1091.96724811845,-5.49313983723384,0.571826780291606,-9.60630041571783,7.52025613869489e-22,8.30236277711916e-19,"PSG2"
1533.96018037012,-5.09539409161714,0.535025589672232,-9.52364557878192,1.67208024096543e-21,1.67968994930938e-18,"SCAF1"
180.405788025249,-3.71649448637358,0.390285304634412,-9.52250684881639,1.69050920824213e-21,1.67968994930938e-18,"ZNF205"
282.975228132866,-4.6050192673798,0.484681659128187,-9.50112136626543,2.07642086977775e-21,1.9648874059154e-18,"CCDC102A"
488.471232142148,-2.6061969708481,0.276508304120976,-9.4253840915673,4.28534251260995e-21,3.87083301866295e-18,"FBRSL1"
185.825082451314,-3.46734969181775,0.369414360013076,-9.3860717588104,6.22797759562142e-21,5.3809726426169e-18,"BAX"
500.26842380735,-5.91728026087459,0.633116742318686,-9.3462703879912,9.07928832319685e-21,7.51765073160699e-18,"SEMA3B"
1936.48746521454,-9.81374148427189,1.05144258329681,-9.33359713613726,1.02337447667411e-20,8.13459904018714e-18,"MT-ATP8"
